                             |---------------Overall------------------||-------------Outer-Shell----------------|
                  Sample Path     Hi     Lo  R_mrg   cc12   comp   mult     Hi     Lo  R_mrg   cc12   comp   mult        symm      a      b      c   alph   beta    gam
             Mpro-oil-apo-4/4   2.54  27.58   0.10   0.99  99.40   3.50   2.54   2.61   0.55   0.66  95.00   3.40     C 1 2 1  112.8   53.5   44.7   90.0  102.0   90.0
             Mpro-oil-apo-3/3   2.47  27.70   0.10   0.99  99.60   3.50   2.47   2.53   0.66   0.72  97.70   3.50     C 1 2 1  113.2   53.6   44.6   90.0  101.9   90.0
            Mpro-oil-apo-10/3   2.06  28.06   0.06   1.00  99.30   3.50   2.06   2.11   0.72   0.61  94.30   3.40     C 1 2 1  114.5   54.0   44.9   90.0  101.4   90.0
             Mpro-oil-apo-6/3   2.70  27.80   0.10   0.99  99.60   3.50   2.70   2.77   0.83   0.56  98.60   3.60     C 1 2 1  113.5   53.8   44.7   90.0  101.7   90.0
             Mpro-oil-apo-2/4   2.44  28.00   0.11   0.98  98.50   3.50   2.44   2.50   0.50   0.73  96.20   3.60     C 1 2 1  114.2   54.0   44.8   90.0  101.3   90.0
             Mpro-oil-apo-7/4   2.27  27.96   0.09   0.99  99.60   3.50   2.27   2.33   0.69   0.52  97.80   3.30     C 1 2 1  114.1   53.9   44.8   90.0  101.5   90.0
                   DesD-133/3   2.66  29.77   0.12   0.99  87.80   4.50   2.66   2.73   0.73   0.61  89.30   4.40     C 2 2 2  126.8  237.5  327.8   90.0   90.0   90.0
                   DesD-133/5   2.60  29.79   0.11   0.99  98.40   4.00   2.60   2.67   0.73   0.62  97.60   4.10     C 2 2 2  126.8  237.5  328.0   90.0   90.0   90.0
                   DesD-133/4   2.66  29.58   0.11   0.99  87.50   4.50   2.66   2.73   0.73   0.54  87.50   4.40     C 2 2 2  126.9  237.8  327.8   90.0   90.0   90.0
                   DesD-133/5   2.60  29.79   0.11   0.99  98.40   4.00   2.60   2.67   0.73   0.62  97.60   4.10     C 2 2 2  126.8  237.5  328.0   90.0   90.0   90.0
                   DesD-133/5   2.60  29.79   0.11   0.99  98.40   4.00   2.60   2.67   0.73   0.62  97.60   4.10     C 2 2 2  126.8  237.5  328.0   90.0   90.0   90.0
